date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:58	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:00%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-60x60.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:36:59	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:01%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-120x120.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:00	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:02%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-76x76.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:01	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:03%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-152x152.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:01	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:04%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/favicon-196x196.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/favicon-196x196.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:02	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:04%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/favicon-96x96.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/favicon-96x96.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:03	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:05%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/favicon-32x32.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/favicon-32x32.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:04	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:06%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/favicon-16x16.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/favicon-16x16.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:05	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:07%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/favicon-128.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/favicon-128.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:05	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:08%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/mstile-144x144.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/mstile-144x144.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:06	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:08%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/mstile-70x70.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/mstile-70x70.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:07	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:09%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/mstile-150x150.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/mstile-150x150.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:08	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:10%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/mstile-310x150.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/mstile-310x150.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
